,mean
0,300.0
1,300.0
2,300.0
3,300.0
4,300.0
5,300.0
6,300.0
7,300.0
8,300.0
9,300.0
10,300.0
11,300.0
12,300.0
13,300.0
14,300.0
15,300.0
16,300.0
17,300.0
18,300.0
19,300.0
20,300.0
21,300.0
22,300.0
23,300.0
24,300.0
25,300.0
26,300.0
27,300.0
28,300.0
29,300.0
30,300.0
31,300.0
32,300.0
33,300.0
34,300.0
35,300.0
36,300.0
37,300.0
38,300.0
39,300.0
40,300.0
41,300.0
42,300.0
43,300.0
44,300.0
45,300.0
46,1677.48583984375
47,1688.5267857142858
48,1722.299037388393
49,1766.2913643973213
50,1726.0703125
51,1751.9758823939733
52,1774.6493443080358
53,1744.5213623046875
54,1747.316127232143
55,1795.3781215122767
56,1855.1322544642858
57,1848.3341761997767
58,1877.213413783482
59,1905.7719900948662
60,1911.6245989118304
61,1945.9079415457588
62,2018.69873046875
63,2016.732631138393
64,1991.6708461216517
65,2030.7686941964287
66,2117.5958426339284
67,2107.9181605747767
68,2087.7471749441966
69,2138.612043108259
70,2154.75497000558
71,2166.663643973214
72,2173.0191476004466
73,2170.295915876116
74,2205.310616629464
75,2245.3962053571427
76,2242.6184430803573
77,2183.0917619977677
78,2283.884940011161
79,2302.3621651785716
80,2301.301827566964
81,2340.6267438616073
82,2337.480154854911
83,2328.80224609375
84,2239.8791852678573
85,1755.579833984375
86,300.0
87,300.0
88,300.0
89,300.0
90,300.0
91,300.0
92,300.0
93,300.0
94,300.0
95,300.0
96,300.0
97,300.0
98,300.0
99,300.0
100,300.0
101,300.0
102,300.0
103,300.0
104,300.0
105,300.0
106,300.0
107,300.0
108,300.0
109,300.0
110,300.0
111,300.0
112,300.0
113,300.0
114,300.0
115,300.0
116,300.0
117,300.0
118,300.0
119,300.0
120,300.0
121,300.0
122,300.0
123,300.0
124,300.0
125,300.0
126,300.0
127,300.0
128,300.0
129,300.0
130,300.0
131,300.0
132,300.0
133,300.0
134,300.0
135,300.0
136,300.0
137,300.0
138,300.0
139,300.0
140,300.0
141,300.0
142,300.0
143,300.0
144,300.0
145,300.0
146,300.0
147,300.0
148,300.0
149,300.0
150,300.0
151,300.0
152,300.0
153,300.0
154,300.0
155,300.0
156,300.0
157,300.0
158,300.0
159,300.0
160,300.0
161,300.0
162,300.0
163,300.0
164,300.0
165,300.0
166,300.0
167,300.0
168,300.0
169,300.0
170,300.0
171,300.0
172,300.0
173,300.0
174,300.0
175,300.0
176,300.0
177,300.0
178,300.0
179,300.0
180,300.0
181,300.0
182,300.0
183,300.0
184,300.0
185,300.0
186,300.0
187,300.0
188,300.0
189,300.0
190,300.0
191,300.0
192,300.0
193,300.0
194,300.0
195,300.0
196,300.0
197,300.0
198,300.0
199,300.0
